sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;vx;vy;vz;rollRate;pitchRate;yawRate;
1653318758;37481;1653318758;37550;1653318758;37461;0.325;-0.00267191;0;0;0;-0.0268319;
1653318758;62935;1653318758;63035;1653318758;62912;0.325;-0.00267392;0;0;0;-0.02682798;
1653318758;88553;1653318758;88638;1653318758;88531;0.325;-0.002675116;0;0;0;-0.0268256;
1653318758;114016;1653318758;114129;1653318758;113995;0.325;-0.002675828;0;0;0;-0.02682416;
1653318758;139488;1653318758;139552;1653318758;139470;0.325;-0.002676251;0;0;0;-0.0268233;
1653318758;164882;1653318758;164956;1653318758;164862;0.325;-0.002676503;0;0;0;-0.02682278;
1653318758;190296;1653318758;190357;1653318758;190274;0.325;-0.002676654;0;0;0;-0.02682247;
1653318758;215872;1653318758;215962;1653318758;215845;0.325;-0.002676743;0;0;0;-0.02682229;
1653318758;241397;1653318758;241462;1653318758;241378;0.325;-0.002676796;0;0;0;-0.02682218;
1653318758;266848;1653318758;266944;1653318758;266822;0.325;-0.002676828;0;0;0;-0.02682211;
1653318758;292428;1653318758;292559;1653318758;292410;0.325;-0.002676847;0;0;0;-0.02682207;
1653318758;317919;1653318758;318115;1653318758;317894;0.325;-0.002676858;0;0;0;-0.02682205;
1653318758;346283;1653318758;346368;1653318758;346263;0.325;-0.002676865;0;0;0;-0.02682203;
1653318758;371874;1653318758;371962;1653318758;371851;0.325;-0.002676869;0;0;0;-0.02682203;
1653318758;397667;1653318758;397738;1653318758;397648;0.325;-0.002676871;0;0;0;-0.02682202;
